Finger Type,Pressure,Theta6,,Configuration,Pressure,Theta6
Finger_Large,0.00,0.78,,DS20DS20_0_1,0,-3.685264538
Finger_Large,2.07,3.90,,DS20DS20_0_1,2.151898734,-3.661200311
Finger_Large,4.15,4.71,,DS20DS20_0_1,4.303797468,-3.637136083
Finger_Large,6.22,5.49,,DS20DS20_0_1,6.455696203,-3.282761687
Finger_Large,8.29,6.45,,DS20DS20_0_1,8.607594937,-2.928387291
Finger_Large,10.37,7.30,,DS20DS20_0_1,10.75949367,-1.841199875
Finger_Large,12.44,7.89,,DS20DS20_0_1,12.91139241,-0.754012458
Finger_Large,14.51,7.87,,DS20DS20_0_1,14.52531646,0.105639093
Finger_Large,16.59,7.58,,DS20DS20_0_1,16.67721519,1.251841163
Finger_Large,18.66,7.76,,DS20DS20_0_1,18.82911392,2.109917081
Finger_Large,20.73,8.50,,DS20DS20_0_1,20.84651899,2.824323831
Finger_Large,22.80,8.79,,DS20DS20_0_1,22.59493671,3.43803325
Finger_Large,24.88,8.95,,DS20DS20_0_1,25.01582278,4.283074378
Finger_Large,26.95,9.17,,DS20DS20_0_1,26.89873418,4.709856315
Finger_Large,29.02,9.68,,DS20DS20_0_1,29.05063291,5.000059439
Finger_Large,31.10,9.87,,DS20DS20_0_1,31.20253165,5.15031762
Finger_Large,33.17,10.80,,DS20DS20_0_1,33.35443038,5.160630861
Finger_Large,35.24,11.53,,DS20DS20_0_1,35.50632911,5.270638757
Finger_Large,37.32,12.20,,DS20DS20_0_1,37.65822785,5.48034131
Finger_Large,39.39,12.93,,DS20DS20_0_1,39.81012658,6.00803544
Finger_Large,41.46,12.93,,DS20DS20_0_1,41.96202532,6.853721145
Finger_Large,43.54,13.43,,DS20DS20_0_1,43.57594937,7.39831753
Finger_Large,45.61,13.85,,DS20DS20_0_1,45.7278481,7.885331655
Finger_Large,47.68,14.26,,DS20DS20_0_1,47.87974684,8.587204955
Finger_Large,49.76,14.66,,DS20DS20_0_1,50.03164557,9.933655773
Finger_Large,51.83,14.74,,DS20DS20_0_1,51.64556962,10.94349389
Finger_Large,53.90,14.76,,DS20DS20_0_1,53.79746835,11.77428269
Finger_Large,55.98,15.07,,DS20DS20_0_1,55.94936709,12.60507149
Finger_Large,58.05,15.32,,DS20DS20_0_1,58.10126582,13.03478984
Finger_Large,60.12,15.62,,DS20DS20_0_1,60.25316456,13.46450819
Finger_Large,62.20,15.79,,DS20DS20_0_1,62.40506329,13.75098708
Finger_Large,64.27,16.31,,DS20DS20_0_1,64.55696203,14.03746598
Finger_Large,66.34,16.30,,DS20DS20_0_1,66.70886076,14.20935332
Finger_Large,68.41,16.51,,DS20DS20_0_1,68.86075949,14.38124066
Finger_Large,70.49,17.06,,DS20DS20_0_1,70.47468354,14.61758575
