Finger Type,Pressure,Theta6,,Configuration,Pressure,Theta6,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,0,0.78,,DS30DS30_0_1,0,-3.585569882,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,2.07,3.9,,DS30DS30_0_1,2.125,-3.579553825,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,4.15,4.71,,DS30DS30_0_1,4.25,-3.573537768,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,6.22,5.49,,DS30DS30_0_1,6.375,-3.567521711,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,8.29,6.45,,DS30DS30_0_1,8.5,-3.561505655,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,10.37,7.3,,DS30DS30_0_1,10.625,-2.880258836,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,12.44,7.89,,DS30DS30_0_1,12.75,-2.199012018,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,14.51,7.87,,DS30DS30_0_1,14.875,-1.517765199,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,16.59,7.58,,DS30DS30_0_1,17,-0.836518381,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,18.66,7.76,,DS30DS30_0_1,19.125,-0.037385496,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,20.73,8.5,,DS30DS30_0_1,21.25,0.761747389,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,22.8,8.79,,DS30DS30_0_1,23.375,1.560880273,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,24.88,8.95,,DS30DS30_0_1,24.4375,1.944224848,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,26.95,9.17,,DS30DS30_0_1,26.5625,2.735246799,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,29.02,9.68,,DS30DS30_0_1,28.6875,3.52626875,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,31.1,9.87,,DS30DS30_0_1,30.8125,4.074141737,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,33.17,10.8,,DS30DS30_0_1,32.9375,4.622014723,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,35.24,11.53,,DS30DS30_0_1,35.0625,5.16988771,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,37.32,12.2,,DS30DS30_0_1,37.1875,5.717760697,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,39.39,12.93,,DS30DS30_0_1,39.3125,6.046584756,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,41.46,12.93,,DS30DS30_0_1,41.4375,6.375408816,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,43.54,13.43,,DS30DS30_0_1,43.5625,6.704232876,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,45.61,13.85,,DS30DS30_0_1,45.6875,7.033056935,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,47.68,14.26,,DS30DS30_0_1,47.8125,7.795807,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,49.76,14.66,,DS30DS30_0_1,49.9375,8.558557065,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,51.83,14.74,,DS30DS30_0_1,52.0625,9.32130713,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,53.9,14.76,,DS30DS30_0_1,54.1875,10.08405719,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,55.98,15.07,,DS30DS30_0_1,56.3125,10.94886537,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,58.05,15.32,,DS30DS30_0_1,58.4375,11.81367354,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,60.12,15.62,,DS30DS30_0_1,59.5,12.66236727,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,62.2,15.79,,DS30DS30_0_1,62.6875,13.54328988,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,64.27,16.31,,DS30DS30_0_1,64.8125,14.01239908,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,66.34,16.3,,DS30DS30_0_1,66.9375,14.48150827,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,68.41,16.51,,DS30DS30_0_1,68,15.01149423,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,70.49,17.06,,DS30DS30_0_1,70.125,15.28364919,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,72.56,17.33,,DS30DS30_0_1,72.25,15.55580414,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,74.63,17.74,,DS30DS30_0_1,74.375,15.82795909,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,76.71,18.15,,DS30DS30_0_1,76.5,16.10011404,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,78.78,18.52,,DS30DS30_0_1,78.625,16.75901551,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,80.85,18.74,,DS30DS30_0_1,81.8125,17.7473677,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,82.93,19.2,,DS30DS30_0_1,82.875,18.07681844,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,85,19.77,,DS30DS30_0_1,85,18.7357199,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,87.07,20.25,,DS30DS30_0_1,87.125,19.39462137,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,89.15,20.92,,DS30DS30_0_1,89.25,20.05352283,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,91.22,20.92,,DS30DS30_0_1,91.375,20.71242429,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,93.29,21.23,,DS30DS30_0_1,93.5,21.37132576,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,95.37,21.51,,DS30DS30_0_1,95.625,21.6721286,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,97.44,22.05,,DS30DS30_0_1,97.75,21.97293144,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,99.51,22.22,,DS30DS30_0_1,99.875,22.27373429,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,101.59,22.55,,DS30DS30_0_1,102,22.57453713,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,103.66,22.83,,DS30DS30_0_1,103.59375,22.96128364,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,105.73,23.09,,DS30DS30_0_1,105.1875,23.34803015,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,107.8,23.48,,DS30DS30_0_1,107.3125,23.84220625,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,109.88,23.97,,DS30DS30_0_1,109.4375,24.33638235,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,111.95,24.18,,DS30DS30_0_1,111.5625,24.83055845,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,114.02,24.32,,DS30DS30_0_1,113.6875,25.32473454,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,116.1,24.31,,DS30DS30_0_1,115.8125,25.91201628,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,118.17,24.62,,DS30DS30_0_1,119,26.47065014,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,120.24,24.66,,DS30DS30_0_1,120.59375,27.07225582,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,122.32,24.99,,DS30DS30_0_1,122.1875,27.6738615,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,124.39,25.59,,DS30DS30_0_1,124.3125,28.31485804,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,126.46,26.04,,DS30DS30_0_1,126.4375,28.95585457,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,128.54,26.37,,DS30DS30_0_1,128.5625,29.86542507,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,130.61,26.81,,DS30DS30_0_1,130.6875,30.23784764,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,132.68,26.99,,DS30DS30_0_1,132.8125,30.64249908,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,134.76,27.4,,DS30DS30_0_1,134.9375,31.04715052,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,136.83,27.71,,DS30DS30_0_1,136,31.16890406,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,138.9,28.16,,DS30DS30_0_1,139.1875,31.85645341,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,140.98,28.16,,DS30DS30_0_1,141.3125,32.33630556,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,143.05,28.42,,DS30DS30_0_1,143.4375,32.81615772,,,,,,,,,,,,,,,,,,,,,,
Finger_Large,145.12,29.23,,DS30DS30_0_1,145.5625,33.29600987,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,147.2,29.67,,DS30DS30_0_1,147.6875,33.77586202,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,149.27,29.79,,DS30DS30_0_1,149.8125,34.29689552,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,151.34,30.23,,DS30DS30_0_1,151.9375,34.81792901,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,153.41,30.21,,DS30DS30_0_1,153,35.06501706,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,155.49,30.14,,DS30DS30_0_1,155.125,35.59500302,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,157.56,30.16,,DS30DS30_0_1,157.25,36.12498898,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,159.63,30.27,,DS30DS30_0_1,159.375,36.65497494,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,161.71,30.25,,DS30DS30_0_1,161.5,37.1849609,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,163.78,30.28,,DS30DS30_0_1,163.625,37.54305953,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,165.85,30.28,,DS30DS30_0_1,165.75,37.90115815,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,167.93,30.78,,DS30DS30_0_1,167.875,38.25925677,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,170,30.87,,DS30DS30_0_1,170,38.61735539,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,172.07,31.09,,DS30DS30_0_1,172.125,38.98977796,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,174.15,31.83,,DS30DS30_0_1,174.25,39.36220053,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,176.22,31.77,,DS30DS30_0_1,176.375,39.73462309,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,178.29,32.15,,DS30DS30_0_1,178.5,40.10704566,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,180.37,32.83,,DS30DS30_0_1,180.625,40.57973584,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,182.44,33.33,,DS30DS30_0_1,182.75,41.05242602,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,184.51,34.32,,DS30DS30_0_1,184.875,41.5251162,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,186.59,34.96,,DS30DS30_0_1,187,41.99780638,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,188.66,35.09,,DS30DS30_0_1,189.125,42.48482051,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,190.73,35.09,,DS30DS30_0_1,190.1875,42.72832757,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,192.8,35.09,,DS30DS30_0_1,192.3125,43.14014099,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,194.88,35.08,,DS30DS30_0_1,194.4375,43.5519544,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,196.95,35.7,,DS30DS30_0_1,197.625,44.23234178,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,199.02,36.35,,DS30DS30_0_1,199.75,44.51882068,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,201.1,37.25,,DS30DS30_0_1,201.875,44.80529958,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,203.17,37.87,,DS30DS30_0_1,202.9375,44.90556719,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,205.24,38.31,,DS30DS30_0_1,205.0625,45.17056017,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,207.32,39.2,,DS30DS30_0_1,207.1875,45.43555315,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,209.39,40.22,,DS30DS30_0_1,209.3125,45.71307959,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,211.46,40.87,,DS30DS30_0_1,211.4375,45.99060602,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,213.54,41.7,,DS30DS30_0_1,213.5625,46.26813245,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
Finger_Large,215.61,41.7,,DS30DS30_0_1,215.6875,46.54565888,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
