Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS30DS30_0_1vsDS20DS20_0_1,0,-13.38811381,-7.372056964,-5.229385796,-4.267389658,-3.9152116,-3.618801434
DS30DS30_0_1vsDS20DS20_0_1,8.5,-13.50270537,-7.505747116,-5.332518199,-4.286488251,-3.847029623,-3.3504662
DS30DS30_0_1vsDS20DS20_0_1,17,-13.44540959,-7.257465405,-4.754785756,-3.301764788,-2.474413732,-0.044881694
DS30DS30_0_1vsDS20DS20_0_1,25.5,-12.85335321,-6.037447273,-2.843971509,-0.673607381,0.819383123,3.094927023
DS30DS30_0_1vsDS20DS20_0_1,34,-12.47138134,-5.21372495,-1.631974787,0.981476703,2.905850951,5.36861454
DS30DS30_0_1vsDS20DS20_0_1,42.5,-12.64326868,-5.306544112,-1.513372523,1.335946592,3.582705093,6.512620271
DS30DS30_0_1vsDS20DS20_0_1,51,-12.5859729,-4.83347196,-0.54832061,2.808448126,5.461051731,9.339212061
DS30DS30_0_1vsDS20DS20_0_1,59.5,-12.0321137,-3.719260034,1.17551841,5.165405509,8.479775368,12.92974758
DS30DS30_0_1vsDS20DS20_0_1,68,-11.7456348,-3.130068435,2.111158489,6.474423085,10.23684594,14.80140971
DS30DS30_0_1vsDS20DS20_0_1,76.5,-11.87932495,-3.142673506,2.367843581,7.028282287,11.15357841,16.11921263
DS30DS30_0_1vsDS20DS20_0_1,85,-11.65014184,-2.558638527,3.438892686,8.61346552,13.17802929,19.0031002
DS30DS30_0_1vsDS20DS20_0_1,93.5,-11.24907138,-1.676283523,4.73014857,10.3514375,15.3743675,21.37132576
DS30DS30_0_1vsDS20DS20_0_1,102,-11.21087419,-1.504014212,5.11326635,11.01988826,16.36749435,22.49814276
DS30DS30_0_1vsDS20DS20_0_1,110.5,-11.24907138,-1.353135326,5.53248047,11.76473339,17.53250853,24.46529785
DS30DS30_0_1vsDS20DS20_0_1,119,-11.00078967,-0.624791377,6.799099169,13.52180397,19.76704393,26.69983326
DS30DS30_0_1vsDS20DS20_0_1,127.5,-10.6188178,0.229908865,8.059606318,15.29797313,22.03977652,29.48822786
DS30DS30_0_1vsDS20DS20_0_1,136,-10.54242343,0.447021671,8.537071147,16.04281826,23.10929774,30.99701672
DS30DS30_0_1vsDS20DS20_0_1,144.5,-10.56152202,0.576032669,8.957240198,16.74946621,24.12152317,32.86867885
DS30DS30_0_1vsDS20DS20_0_1,153,-10.31324031,1.188696439,10.04586001,18.25825507,26.03138249,35.00772128
