Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS10DS10_0_1,0,-14.2666491,-8.307888029,-5.84416951,-4.538398695,-3.59645608,-3.205698864
DS10DS10_0_1,8.5,-14.40845175,-8.399549548,-5.738772839,-4.142235619,-2.953373412,-2.136300409
DS10DS10_0_1,17,-13.95724016,-7.325239021,-4.092228191,-2.035293286,-0.42188331,0.750848289
DS10DS10_0_1,25.5,-13.57622616,-6.441464817,-2.790626421,-0.286894043,1.695868866,3.151817373
DS10DS10_0_1,34,-13.57909974,-6.399944436,-2.62329225,0.035310146,2.20119477,3.861464601
DS10DS10_0_1,42.5,-13.6936913,-6.481577727,-2.527869267,0.362362906,2.728547001,4.658074742
DS10DS10_0_1,51,-13.51605679,-5.881091567,-1.520400101,1.804938449,4.52667212,6.821247282
DS10DS10_0_1,59.5,-13.27971903,-5.132518983,-0.323222147,3.429671409,6.571949064,9.163160955
DS10DS10_0_1,68,-13.25825511,-4.92366619,0.101519031,4.0510544,7.517241459,10.23307314
DS10DS10_0_1,76.5,-13.40721241,-5.093194843,0.109167285,4.145091612,7.77650926,10.70721477
DS10DS10_0_1,85,-13.36422591,-5.024529633,0.394431125,4.67600533,8.522879153,11.74581073
DS10DS10_0_1,93.5,-13.12929562,-4.569412308,1.199280422,5.911112914,10.08141819,13.56789862
DS10DS10_0_1,102,-13.00614195,-4.126307744,1.918543606,6.898482227,11.38479454,15.12051455
DS10DS10_0_1,110.5,-13.00614195,-4.007424573,2.191910742,7.365410575,12.13673567,16.0228791
DS10DS10_0_1,119,-13.00614195,-3.983334542,2.321574552,7.697749554,12.61949807,16.73910566
DS10DS10_0_1,127.5,-12.91301432,-3.804175859,2.692347446,8.293696035,13.50051597,17.83353129
DS10DS10_0_1,136,-12.78839453,-3.478489524,3.261611217,9.144570615,14.57623397,19.19432072
DS10DS10_0_1,144.5,-12.66377474,-3.262494405,3.703851946,9.790540944,15.46141565,20.21555787
DS10DS10_0_1,153,-12.66236727,-3.264713517,3.815103108,10.03538217,15.83949742,20.76693445
DS10DS10_0_1,161.5,-12.66236727,-3.259199751,3.920248781,10.27324469,16.23200576,21.25403655
DS10DS10_0_1,170,-12.57639428,-3.132034788,4.250586219,10.71442806,16.84513511,22.14502404
DS10DS10_0_1,178.5,-12.50907027,-2.942104264,4.620353945,11.27020298,17.59285383,22.9786571
DS10DS10_0_1,187,-12.43318415,-2.828370089,4.864272693,11.66265268,18.07977999,23.58017482
DS10DS10_0_1,195.5,-12.43318415,-2.861555312,4.917287416,11.80293058,18.22299012,23.89527229
DS10DS10_0_1,204,-12.42168981,-2.878071392,4.9330851,11.94051082,18.48372403,24.22479633
