Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS10DS10_0_1,0.0,-16.63971116643775,-10.04201864056058,-6.881285805719798,-5.151466476376376,-3.95440268717186,-3.205698864
DS10DS10_0_1,8.5,-16.174732477748986,-9.46215027712896,-6.138270476202105,-4.323519792643404,-3.067239607336143,-2.136300409
DS10DS10_0_1,17.0,-15.208022391165972,-8.176091073552337,-4.502789868386754,-2.37617660985247,-0.7684683033219575,0.750848289
DS10DS10_0_1,25.5,-14.496062825896836,-7.166287089275953,-3.198159184241883,-0.7831359913473972,1.1273506531643487,3.151817373
DS10DS10_0_1,34.0,-14.332023822545803,-6.876733486063346,-2.7649803185418014,-0.24619209293836786,1.7201515736756163,3.861464601
DS10DS10_0_1,42.5,-14.170561448564612,-6.575400911382648,-2.309543212490932,0.3322771221803471,2.3784543857888187,4.658074742
DS10DS10_0_1,51.0,-13.711090604722445,-5.799728798684944,-1.2464743853761826,1.7099962282544912,4.073711778544525,6.821247282
DS10DS10_0_1,59.5,-13.276841321360584,-5.01202567322942,-0.14950192931224127,3.164326044543266,5.8953093625387485,9.163160955
DS10DS10_0_1,68.0,-13.166118647474821,-4.703173632578772,0.3535565928890865,3.860209326945223,6.755684920086814,10.23307314
DS10DS10_0_1,76.5,-13.188747384755054,-4.606232039701857,0.5861299121474808,4.203725884626824,7.16662284719504,10.70721477
DS10DS10_0_1,85.0,-13.112532651778078,-4.333457686230444,1.0509575515600016,4.86427403899701,8.001672061454313,11.74581073
DS10DS10_0_1,93.5,-12.92141488846301,-3.8329234318755656,1.8297748885280205,5.961807122590855,9.427060508133975,13.56789862
DS10DS10_0_1,102.0,-12.800557833719374,-3.437779148479203,2.4789661837369206,6.894373219434865,10.649533243438073,15.12051455
DS10DS10_0_1,110.5,-12.79001710734208,-3.246358423546795,2.85241228582663,7.451921334993699,11.381333865908124,16.0228791
DS10DS10_0_1,119.0,-12.805841249265438,-3.1107130563738634,3.145693671358644,7.898918804040635,11.970950156086317,16.73910566
DS10DS10_0_1,127.5,-12.772428084647302,-2.8718323675843536,3.5860906923147136,8.552828088327686,12.846641824831428,17.83353129
DS10DS10_0_1,136.0,-12.710871320760738,-2.5664839820615137,4.126822825466511,9.350205191233664,13.925754206484443,19.19432072
DS10DS10_0_1,144.5,-12.689529881653822,-2.3548782279998246,4.529426101107371,9.952470313735265,14.746076228398417,20.21555787
DS10DS10_0_1,153.0,-12.712277751618359,-2.262326759760331,4.74618550833861,10.287875595348556,15.204383474577709,20.76693445
DS10DS10_0_1,161.5,-12.7317343104695,-2.1806635877519644,4.937437966854994,10.583281713289754,15.609879285178645,21.25403655
DS10DS10_0_1,170.0,-12.705851135304535,-1.994824614185931,5.285587251850614,11.100658945031874,16.325062523989892,22.14502404
DS10DS10_0_1,178.5,-12.678997883964445,-1.820452341897023,5.61083781446161,11.582421328912751,16.994405869928762,22.9786571
DS10DS10_0_1,187.0,-12.66408997113566,-1.6980389338250346,5.845880227563188,11.93100033802464,17.48076144092103,23.58017482
DS10DS10_0_1,195.5,-12.66287531934959,-1.6383945229282446,5.970033437153819,12.115931227153375,17.739656014049558,23.89527229
DS10DS10_0_1,204.0,-12.651621048460802,-1.5704106189701506,6.099814140020901,12.305659861139917,18.005753649252625,24.22479633
DS10DS10_0_1,212.5,-12.564408081426658,-1.2735169283582595,6.608438406333927,13.041637509539566,19.04077329706285,25.53386121
DS10DS10_0_1,221.0,-12.455151579525065,-0.9137288208015377,7.225290018697785,13.933088705004877,20.301185448568177,27.12412697
DS10DS10_0_1,229.5,-12.410876794779526,-0.7769382565920839,7.461355290480465,14.270764348092328,20.781399800001687,27.73115728
DS10DS10_0_1,238.0,-12.397040803422238,-0.7526966536417454,7.501598144304796,14.32305079105619,20.856807280314143,27.83437179
DS10DS10_0_1,246.5,-12.396669927974909,-0.7847827909798912,7.4436699094390795,14.232141506679778,20.72848669453586,27.68688061
DS10DS10_0_1,255.0,-12.348908929636659,-0.6535562211167649,7.668822150255775,14.552828759791204,21.185531196438916,28.27590702
DS10DS10_0_1,263.5,-12.300546017968971,-0.5142163051196444,7.912412281014384,14.901769597479223,21.684030050444328,28.91847597
DS10DS10_0_1,272.0,-12.303105691471064,-0.545945385115413,7.867310540770718,14.833031391885527,21.5870716757345,28.8197771
DS10DS10_0_1,280.5,-12.305822869367509,-0.5628349364085423,7.8577176215853095,14.81883880311553,21.568226530858446,28.8197771
DS10DS10_0_1,289.0,-12.323823078978831,-0.6132340415063329,7.803403226860865,14.743262392959114,21.46220471793537,28.71081542
DS10DS10_0_1,297.5,-12.34718279146081,-0.651851542177603,7.785605869511316,14.72572258833236,21.43964469821455,28.70518554
DS10DS10_0_1,306.0,-12.384461480556237,-0.7026192067333854,7.766399950946407,14.711971079491118,21.423317271174156,28.70518554
DS10DS10_0_1,314.5,-12.432629255309656,-0.7435978621997474,7.78671161195522,14.763137128744319,21.500696011171357,28.8197771
DS10DS10_0_1,323.0,-12.506987047988662,-0.8279071464314676,7.75911811788617,14.75214026779435,21.490587849386536,28.8197771
DS10DS10_0_1,331.5,-12.625933923165073,-1.0308391857020807,7.55902803861498,14.49553058002109,21.131505973588503,28.37138044
DS10DS10_0_1,340.0,-12.750635719086135,-1.1719629720886875,7.498082683064427,14.453581262283762,21.08045548358224,28.30411508
DS10DS10_0_2,0.0,-16.853968631437564,-10.313844634739473,-7.221515184874762,-5.55646632411246,-4.45024561957603,-3.83022286
DS10DS10_0_2,8.5,-16.61926038280712,-10.043551898248944,-6.871215982477325,-5.207899738777587,-4.156960735958785,-3.513957761
DS10DS10_0_2,17.0,-15.90652288392662,-9.115918570298762,-5.674286643304259,-3.8111069918830793,-2.5520016358204547,-1.53642585
DS10DS10_0_2,25.5,-15.00743059655074,-7.874551205841364,-4.0730440691823375,-1.8714972410110855,-0.2379194907197404,1.376072911
DS10DS10_0_2,34.0,-14.70569521303636,-7.412031316821182,-3.4326612364167683,-1.087643704639857,0.6576320508127873,2.475882586
DS10DS10_0_2,42.5,-14.55773183018329,-7.149969757905555,-3.0347656161265797,-0.5928813217086599,1.2030749026106125,3.123497558
DS10DS10_0_2,51.0,-13.851583140301106,-6.015220362796301,-1.5186299732360018,1.3576033247549288,3.6218017962059568,6.225312378
DS10DS10_0_2,59.5,-13.260197934422889,-4.985624422748451,-0.11598194604393708,3.208368218153402,5.952334097413109,9.238972168
DS10DS10_0_2,68.0,-13.245729176823478,-4.834560370097126,0.18404720266781283,3.6350639869217103,6.4624011269303026,9.843437097
DS10DS10_0_2,76.5,-13.282212189564042,-4.767090090577305,0.37490862055487817,3.9205322414494246,6.795878794575136,10.21585174
DS10DS10_0_2,85.0,-13.137852844854152,-4.378872886280672,0.9903671646573136,4.782209078674423,7.89354414680777,11.60251416
DS10DS10_0_2,93.5,-12.91252644139515,-3.8163218757769544,1.8522904605223216,5.992631150229338,9.467994751048485,13.62220226
DS10DS10_0_2,102.0,-12.813613883747795,-3.4632188958080166,2.443819563184036,6.845816005474957,10.58460884970344,15.03447908
DS10DS10_0_2,110.5,-12.81203177914853,-3.291238661259654,2.7892224858573593,7.3639766185758635,11.263130117229755,15.86666978
DS10DS10_0_2,119.0,-12.834753505073433,-3.1724616882119507,3.0571241974258347,7.774864891161398,11.80344870504365,16.51845085
DS10DS10_0_2,127.5,-12.769820407596049,-2.8660093689295696,3.5946071694379684,8.564833994242784,12.862945185951261,17.8549458
DS10DS10_0_2,136.0,-12.739473830291598,-2.633216117628823,4.0272886890243,9.20908456106584,13.733049093693763,18.94206074
DS10DS10_0_2,144.5,-12.774332742026708,-2.561977386099703,4.214976669977944,9.504656372081046,14.132007616654926,19.41471528
DS10DS10_0_2,153.0,-12.776185451760192,-2.4256705571057076,4.4940179151218596,9.927414752285639,14.708272375693157,20.12233479
DS10DS10_0_2,161.5,-12.778280512291099,-2.3050731178362938,4.742397852966527,10.303605226217492,15.223675476831266,20.75406155
DS10DS10_0_2,170.0,-12.718423716880427,-2.0297548627516244,5.229905550842404,11.020566883424875,16.21396033813319,22.00178526
DS10DS10_0_2,178.5,-12.701512817649295,-1.8854462177217544,5.505736616713363,11.430891048956012,16.783451965132272,22.7077415
DS10DS10_0_2,187.0,-12.703674031028186,-1.8167827949738156,5.651573024353309,11.65036598437669,17.089042076130816,23.07880969
DS10DS10_0_2,195.5,-12.718684832608764,-1.8124695797844836,5.682544507208649,11.70018879266902,17.15838758833626,23.15326093
DS10DS10_0_2,204.0,-12.706077091692883,-1.746268167862473,5.806864652123887,11.881557480897166,17.411688506434203,23.46842732
DS10DS10_0_2,212.5,-12.660219995437682,-1.5898789616293652,6.075848847528333,12.2697127928912,17.955458318732603,24.15748154
DS10DS10_0_2,221.0,-12.599125863102916,-1.3946911215144882,6.407518725210347,12.746819782276122,18.62610189094147,25.00971072
DS10DS10_0_2,229.5,-12.630655320369048,-1.533264788046333,6.170851792433415,12.397857566427197,18.135222607100523,24.39488598
DS10DS10_0_2,238.0,-12.608514001831118,-1.4996394413101664,6.2231102254343975,12.466639454569233,18.231771898745016,24.52842301
DS10DS10_0_2,246.5,-12.55255833492182,-1.347639350705217,6.4775923937235875,12.82855532992217,18.741485716966125,25.18731655
DS10DS10_0_2,255.0,-12.51151475718874,-1.2484291023022998,6.64521579806157,13.064796397058874,19.07502956113356,25.62554927
DS10DS10_0_2,263.5,-12.499555920824708,-1.253172165431887,6.639660689532902,13.050401069766764,19.055011963795792,25.61978326
DS10DS10_0_2,272.0,-12.49904399981504,-1.2922126131443221,6.582664077430274,12.9628821675728,18.931970220553303,25.48513738
DS10DS10_0_2,280.5,-12.492244950626166,-1.288495261395716,6.6092735837888155,12.999581743644296,18.984786051733813,25.572578
