Finger Type,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
Finger_Large,0,-15.25557263,-8.293838603,-4.753956363,-2.614655223,-0.840151934,0.78
Finger_Large,2.07,-14.16422034,-6.908260311,-3.113297119,-0.654231158,1.551244433,3.9
Finger_Large,4.15,-13.89557801,-6.550082278,-2.678013861,-0.131077095,2.174628659,4.71
Finger_Large,6.22,-13.6456516,-6.211339265,-2.264506291,0.369712636,2.773318166,5.49
Finger_Large,8.29,-13.34358147,-5.80170513,-1.768925744,0.974248924,3.50418211,6.45
Finger_Large,10.37,-13.08774766,-5.44635586,-1.334630717,1.508543757,4.150716778,7.3
Finger_Large,12.44,-12.92502364,-5.207010952,-1.031804707,1.885386021,4.603149632,7.89
Finger_Large,14.51,-12.96350981,-5.226474062,-1.024155974,1.90105598,4.604272181,7.87
Finger_Large,16.59,-13.08640006,-5.357434785,-1.145604684,1.7571533,4.405104207,7.58
Finger_Large,18.66,-13.06055599,-5.293835989,-1.042827135,1.890225187,4.554299157,7.76
Finger_Large,20.73,-12.8660956,-5.004389856,-0.676828934,2.35177382,5.118616477,8.5
Finger_Large,22.8,-12.81325762,-4.90125439,-0.526028785,2.547524742,5.349368922,8.79
Finger_Large,24.88,-12.80132941,-4.852013457,-0.437257208,2.666677514,5.484091744,8.95
Finger_Large,26.95,-12.77303951,-4.780073741,-0.321638182,2.820187402,5.663185747,9.17
Finger_Large,29.02,-12.66400289,-4.596133219,-0.073636757,3.141717696,6.056742499,9.68
Finger_Large,31.1,-12.64901459,-4.539762432,0.025370491,3.276422475,6.213879246,9.87
Finger_Large,33.17,-12.43163915,-4.200353874,0.459470748,3.838050925,6.916947643,10.8
Finger_Large,35.24,-12.27630873,-3.943459275,0.797909157,4.28126686,7.471593855,11.53
Finger_Large,37.32,-12.14318998,-3.714182415,1.105626532,4.6879539,7.981721226,12.2
Finger_Large,39.39,-11.99945,-3.466881233,1.43634027,5.126680137,8.535364668,12.93
Finger_Large,41.46,-12.04959249,-3.493433853,1.442744525,5.14900436,8.554142519,12.93
Finger_Large,43.54,-11.97260597,-3.336978371,1.668152469,5.455004161,8.939563313,13.43
Finger_Large,45.61,-11.91883992,-3.21228394,1.856615485,5.714506739,9.266358791,13.85
Finger_Large,47.68,-11.87029199,-3.093492937,2.039108525,5.967486191,9.585966176,14.26
Finger_Large,49.76,-11.82700989,-2.980587603,2.215778197,6.214108594,9.898500584,14.66
Finger_Large,51.83,-11.8614956,-2.982136758,2.253889253,6.279841387,9.976576558,14.74
Finger_Large,53.9,-11.90957174,-3.004597095,2.266072653,6.311456876,10.01049282,14.76
Finger_Large,55.98,-11.89104696,-2.926507208,2.40175677,6.505988698,10.25741729,15.07
Finger_Large,58.05,-11.88721275,-2.870169976,2.511009354,6.666171319,10.46029483,15.32
Finger_Large,60.12,-11.87337795,-2.797779584,2.64065201,6.853929321,10.70004577,15.62
Finger_Large,62.2,-11.88917734,-2.770468046,2.714737842,6.96842433,10.844357,15.79
Finger_Large,64.27,-11.83079124,-2.626673438,2.935056945,7.278310854,11.24632739,16.31
Finger_Large,66.34,-11.88564913,-2.660432048,2.932639547,7.291223161,11.25813582,16.3
Finger_Large,68.41,-11.8943511,-2.621388853,3.021877247,7.426815312,11.43197683,16.51
Finger_Large,70.49,-11.83547002,-2.472578867,3.251609647,7.751842619,11.85691841,17.06
Finger_Large,72.56,-11.83442038,-2.416163463,3.364211949,7.919970301,12.07538278,17.33
Finger_Large,74.63,-11.80699847,-2.315883554,3.533795418,8.165588336,12.39742265,17.74
Finger_Large,76.71,-11.78151093,-2.217288531,3.702390905,8.410710231,12.71983314,18.15
Finger_Large,78.78,-11.76486248,-2.132538027,3.853722552,8.632998232,13.01284943,18.52
Finger_Large,80.85,-11.77708869,-2.095516271,3.94326209,8.771626624,13.19503813,18.74
