Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
E30DS30_6_3_VS_DS10DS10_0_1,0,-13.2782969,-8.350859864,-5.973085014,-4.57879222,-3.839246946,-3.221025485
E30DS30_6_3_VS_DS10DS10_0_1,4,-13.23532507,-8.307888029,-5.743901896,-4.250630643,-3.379305076,-2.691898961
E30DS30_6_3_VS_DS10DS10_0_1,8,-13.22100112,-8.064380966,-5.589060052,-3.991796959,-3.079934628,-2.347408087
E30DS30_6_3_VS_DS10DS10_0_1,12,-13.12073351,-7.835197848,-5.188419314,-3.410817754,-2.348697242,-1.505160128
E30DS30_6_3_VS_DS10DS10_0_1,16,-13.06343773,-7.648986565,-4.903086332,-3.033238567,-1.89434171,-0.98477121
E30DS30_6_3_VS_DS10DS10_0_1,20,-12.991818,-7.462775282,-4.622480252,-2.682588397,-1.423083924,-0.477202224
E30DS30_6_3_VS_DS10DS10_0_1,24,-12.93452223,-7.276563998,-4.378113752,-2.311025267,-0.957842194,0.057840089
E30DS30_6_3_VS_DS10DS10_0_1,28,-12.59074755,-7.090352715,-4.093640207,-1.944475517,-0.478992717,0.599328178
E30DS30_6_3_VS_DS10DS10_0_1,32,-12.61939544,-6.904141431,-3.818620465,-1.588955205,-0.010084057,1.131734885
E30DS30_6_3_VS_DS10DS10_0_1,36,-12.5764236,-6.746578038,-3.540735934,-1.210086863,0.454614795,1.658569577
E30DS30_6_3_VS_DS10DS10_0_1,40,-12.51912782,-6.531718864,-3.275456475,-0.853134157,0.927203276,2.176666664
E30DS30_6_3_VS_DS10DS10_0_1,44,-12.46183204,-6.359831526,-2.98582631,-0.474265815,1.393003639,2.721263048
E30DS30_6_3_VS_DS10DS10_0_1,48,-12.41886021,-6.187944187,-2.705649948,-0.099436825,1.853661707,3.264570277
E30DS30_6_3_VS_DS10DS10_0_1,52,-12.3185926,-5.987408959,-2.444381193,0.275578376,2.30744428,3.794556238
E30DS30_6_3_VS_DS10DS10_0_1,56,-12.33291654,-5.819245846,-2.166639902,0.637036679,2.762659249,4.309931774
E30DS30_6_3_VS_DS10DS10_0_1,60,-12.06076159,-5.690473582,-1.908665655,1.008448691,3.216298583,4.826453227
