Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS10DS10_0_1,0,-13.545840604588255,-8.440599038042674,-6.108266669575486,-4.785150384998365,-3.9229088030456185,-3.33404141
DS10DS10_0_1,4,-13.464267286195788,-8.272068263556514,-5.859017642259367,-4.447139132327548,-3.4959476555523685,-2.836714044
DS10DS10_0_1,8,-13.383990521518424,-8.104501140813925,-5.609868004705926,-4.108944875563275,-3.0683096308310627,-2.337094846
DS10DS10_0_1,12,-13.304292484639594,-7.936287261836181,-5.358332806189374,-3.767123633174964,-2.6356022456321404,-1.830027198
DS10DS10_0_1,16,-13.220044215923668,-7.755211466243379,-5.085251621748476,-3.3949932263203135,-2.1636158654416624,-1.274831094
DS10DS10_0_1,20,-13.142050501735053,-7.587086925638961,-4.831220917019963,-3.0491472492763947,-1.7249197000570335,-0.758023163
DS10DS10_0_1,24,-13.061546080445499,-7.411014333769776,-4.563433257842948,-2.6838882925738847,-1.2609179598434181,-0.20987444
DS10DS10_0_1,28,-12.982592466898803,-7.2368515134826605,-4.297430993132763,-2.3208964321494783,-0.7994469491546,0.336383522
DS10DS10_0_1,32,-12.905461100854325,-7.065412347704205,-4.034545108409762,-1.9620461213993854,-0.3429484441398851,0.877771342
DS10DS10_0_1,36,-12.827206691394778,-6.889545902229668,-3.7635514189888544,-1.5917225205591616,0.12864155609659278,1.438124066
DS10DS10_0_1,40,-12.7513459534909,-6.718057482867387,-3.4983714935715087,-1.2293392775211323,0.5903235145397372,1.987590591
DS10DS10_0_1,44,-12.678182145213919,-6.551890914184895,-3.240548221403851,-0.8770596668149553,1.0392672527683233,2.522733172
DS10DS10_0_1,48,-12.604716392838656,-6.383673731860705,-2.97849526768717,-0.518769036111578,1.4962064601819347,3.068188993
DS10DS10_0_1,52,-12.53149846168355,-6.214875820945606,-2.714572011227145,-0.15777422510640404,1.9568656032458676,3.618801434
DS10DS10_0_1,56,-12.461469606360673,-6.0530655181475,-2.460779118899938,0.18921050467237732,2.399655485780094,4.148787395
DS10DS10_0_1,60,-12.391805897626664,-5.8912259373555855,-2.2060783031257225,0.537529927785783,2.84434406251261,4.681638144
DS10DS10_0_1,64,-12.320720244242855,-5.724896592835966,-1.94345595523423,0.8969145171367794,3.303483153902781,5.232250585
DS10DS10_0_1,68,-12.249751844688356,-5.5580876406624595,-1.6792898646359626,1.258472511624377,3.765579705127803,5.786873731
DS10DS10_0_1,72,-12.183796473899676,-5.403437450404278,-1.4336184704358947,1.594352679179297,4.194613614710691,6.302535746
DS10DS10_0_1,76,-12.118283271503303,-5.249374610920177,-1.1881832180223504,1.9299192406568921,4.623332460177696,6.818197762
DS10DS10_0_1,80,-12.053156707695473,-5.095846281758391,-0.9429396890295605,2.2652191925141225,5.051780510337431,7.333859778
DS10DS10_0_1,84,-11.988362718768041,-4.9428007658818025,-0.6978447200178621,2.6002980838424894,5.480000838477743,7.849521793
DS10DS10_0_1,88,-11.9238487067638,-4.790187508782602,-0.4528564010709406,2.9352000183131275,5.90803532488289,8.365183809
DS10DS10_0_1,92,-11.85956354016695,-4.637957100253617,-0.2079340786010535,3.2699676502846233,6.3359246517987,8.880845825
DS10DS10_0_1,96,-11.795457553557963,-4.4860612735025835,0.036961646053187636,3.604642186749875,6.763708305950218,9.39650784
DS10DS10_0_1,100,-11.738091518836947,-4.351365707793535,0.2550558629123181,3.9021377960517643,7.143361321646581,9.854874076
DS10DS10_0_1,104,-11.674212189060334,-4.200001979195749,0.5000027230722148,4.236750165000787,7.571049842868537,10.37053609
DS10DS10_0_1,108,-11.610374345057512,-4.048835922663308,0.7450327333544786,4.571383438135019,7.998743910350524,10.88619811
DS10DS10_0_1,112,-11.466240828638947,-3.694292102831238,1.312613234809266,5.351646328983449,9.003582086201245,12.08940948
DS10DS10_0_1,116,-11.395354770424921,-3.5263043136074006,1.5849651973259373,5.7235374048007746,9.479489532429184,12.66236727
DS10DS10_0_1,120,-11.344657258131933,-3.409407186439596,1.7767601490801566,5.98410912869061,9.811117717639547,13.06343773
DS10DS10_0_1,124,-11.280297322811132,-3.2585162508654664,2.0225985666376376,6.319146008920718,10.239140747096616,13.57909974
DS10DS10_0_1,128,-11.229386270930569,-3.1416435961684,2.2148056990409914,6.580100231940435,10.571118172025624,13.9801702
DS10DS10_0_1,132,-11.16467958453225,-2.9906973442634497,2.4611427968932293,6.915550441206056,10.999510818723035,14.49583222
DS10DS10_0_1,136,-11.099722670486962,-2.839659721575887,2.7077827519912328,7.251245916244978,11.428127180414002,15.01149423
DS10DS10_0_1,140,-11.013748346440408,-2.637333748750053,3.035714892249133,7.698633634677208,12.001296871097832,15.69904359
DS10DS10_0_1,144,-10.913185282613343,-2.400505890160379,3.418205857080978,8.22068788259757,12.671041497478353,16.5011845
DS10DS10_0_1,148,-10.889082650148108,-2.3514997675893072,3.5038008479342464,8.334333145929996,12.81176050689086,16.67307184
DS10DS10_0_1,152,-10.836761957574325,-2.2339043562543415,3.697856496361447,8.596960002584082,13.145337984969657,17.07414229
DS10DS10_0_1,156,-10.770093652001144,-2.081901518381727,3.946363756623744,8.934228768929795,13.575443591526763,17.58980431
DS10DS10_0_1,160,-10.710070721534771,-1.9467186413684532,4.168245572734809,9.23472328327958,13.957837196581576,18.04817055
DS10DS10_0_1,164,-10.656754364997532,-1.828351831123392,4.363482523207302,9.498456690784563,14.292562321444624,18.449241
DS10DS10_0_1,168,-10.581733638914852,-1.6583270840154603,4.640380294466433,9.87402988545287,14.771882179067976,19.0221988
DS10DS10_0_1,172,-10.534778938861365,-1.5564410863838036,4.8093989879380485,10.1014160547048,15.059401930679854,19.36597348
DS10DS10_0_1,176,-10.458780316714382,-1.385669722232131,5.087269224487337,10.47782821361882,15.539561656227693,19.93893127
DS10DS10_0_1,180,-10.38940074851364,-1.231608061779121,5.338556999673108,10.817530530726218,15.972122141222478,20.45459329
DS10DS10_0_1,184,-10.333999720345851,-1.1114534607615596,5.5360778724468505,11.083345961961166,16.309068452973655,20.85566374
DS10DS10_0_1,188,-10.278160912199297,-0.990881495446156,5.734079305826252,11.349601801577027,16.646515271166578,21.2567342
DS10DS10_0_1,192,-10.229156732924242,-0.8870469546955109,5.905415608117745,11.579137188163681,16.9364645006444,21.60050888
DS10DS10_0_1,196,-10.135787974761508,-0.6796347725607914,6.240258474765905,12.032147302947978,17.5149791292064,22.28805823
DS10DS10_0_1,200,-10.056312896900916,-0.5060131732441526,6.521384504212695,12.411315202609117,17.99797617021677,22.86101603
DS10DS10_0_1,204,-9.991026406291015,-0.3663130965210142,6.748665592738404,12.716572469813576,18.38544729922103,23.31938226
DS10DS10_0_1,208,-9.932651448054829,-0.24334540324852316,6.94925455494776,12.98508533492064,18.725436363326924,23.72045272
DS10DS10_0_1,212,-9.888692742740696,-0.154364329049673,7.095901430941034,13.179643506906807,18.96998981712459,24.00693162
DS10DS10_0_1,216,-9.806878682034311,0.021419256369714645,7.379242008919712,13.56065988431716,19.455031384000222,24.57988941
DS10DS10_0_1,220,-9.739418099812747,0.16326124992106372,7.6086659311225455,13.867723153175662,19.84462677031877,25.03825565
DS10DS10_0_1,224,-9.671383146017678,0.3056760180863858,7.838636080478564,14.175230271048038,20.2347554371358,25.49662188
DS10DS10_0_1,228,-9.602769623024106,0.44867395312891034,8.06915193093732,14.483174398788245,20.625417149640818,25.95498812
DS10DS10_0_1,232,-9.548772494378065,0.5576236364944194,8.245629681729554,14.717074582737824,20.920679089154373,26.2987628
DS10DS10_0_1,236,-9.486653291053031,0.6844599338280712,8.44991233967075,14.98861176992318,21.264452086369673,26.69983325
DS10DS10_0_1,240,-9.408728777921455,0.8465567552393622,8.709326613559302,15.335036767315655,21.70466403580595,27.21549527
DS10DS10_0_1,244,-9.337826856219712,0.9919414166210263,8.941977829737727,15.644617889849284,22.097438389990753,27.6738615
DS10DS10_0_1,248,-9.258650365189917,1.1553213089748802,9.202487566947948,15.991847623404551,22.538676255423447,28.18952352
DS10DS10_0_1,252,-9.194267905051806,1.2845733116478364,9.408856252575696,16.26491266019844,22.88451978847691,28.59059398
DS10DS10_0_1,256,-9.137046212944929,1.3970323315673543,9.588379949127937,16.501038130370265,23.182928009255395,28.93436865
DS10DS10_0_1,260,-9.0792843772942,1.510079985149515,9.768385418555258,16.737474218044557,23.48184023291474,29.27814333
DS10DS10_0_1,264,-9.00555335109614,1.6585332629769027,10.003562832266145,17.048772843344892,23.877101713693296,29.73650957
DS10DS10_0_1,268,-8.923508558070932,1.8250481438302177,10.26658535806721,17.397663854651167,24.320758199100933,30.25217158
DS10DS10_0_1,272,-8.85638614132177,1.957330068829764,10.475358522363987,17.672233388517117,24.669001010399747,30.65324204
DS10DS10_0_1,276,-8.79647807602699,2.0727604613791595,10.657211070695602,17.90972945690287,24.96975401910157,30.99701672
DS10DS10_0_1,280,-8.712769661926412,2.241163743398001,10.921611379794292,18.25937529800868,25.414711118439246,31.51267873
DS10DS10_0_1,284,-8.636275590633598,2.39273494847623,11.159072273673196,18.571912512378447,25.812142749364646,31.97104497
DS10DS10_0_1,288,-8.559255110311682,2.544922151603952,11.396946019995191,18.884624068998136,26.209958464251006,32.4294112
DS10DS10_0_1,292,-8.489504972644824,2.680205041379361,11.607828467361415,19.160140189496577,26.56020873416252,32.83048166
DS10DS10_0_1,296,-8.427024521075195,2.7985426590489855,11.791698356489768,19.398413676807643,26.86287042432245,33.17425634
DS10DS10_0_1,300,-8.348506662625242,2.952492936553723,12.030695464456851,19.71145191729567,27.26171192438393,33.63262257
DS10DS10_0_1,304,-8.246173051290203,3.1596961754440898,12.352199348500637,20.13663076662766,27.804657384232307,34.26287615
DS10DS10_0_1,308,-8.22879452799079,3.17435708159295,12.372755971252687,20.15084091799616,27.82057785705194,34.26287615
DS10DS10_0_1,312,-8.125662762710752,3.38266808536863,12.694856402167737,20.576013839726418,28.364048291186112,34.89312972
DS10DS10_0_1,316,-8.068509357911857,3.486118729016276,12.852927220477468,20.77692370377479,28.620090497347665,35.17960862
DS10DS10_0_1,320,-7.980017960005841,3.66041440497391,13.120779123079718,21.127236377946975,29.068101214011875,35.69527064
