Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS10DS10_0_1,0,-13.57909974,-8.307888029,-6.016056849,-4.715442654,-3.955700618,-3.33404141
DS10DS10_0_1,4,-13.57909974,-8.307888029,-5.786873731,-4.418650516,-3.589007629,-2.836714044
DS10DS10_0_1,8,-13.52180397,-8.021409132,-5.602381321,-4.124150209,-3.123765899,-2.337094846
DS10DS10_0_1,12,-13.46450819,-7.964113352,-5.39726243,-3.788969899,-2.722122485,-1.830027198
DS10DS10_0_1,16,-13.40721241,-7.734930234,-5.094740714,-3.423422826,-2.283236814,-1.274831094
DS10DS10_0_1,20,-13.46450819,-7.677634455,-4.84894182,-3.101993503,-1.838621565,-0.758023163
DS10DS10_0_1,24,-13.40721241,-7.448451337,-4.629498985,-2.772542771,-1.399162936,-0.20987444
DS10DS10_0_1,28,-12.54777571,-7.391155557,-4.411202065,-2.41157936,-0.939650784,0.336383522
DS10DS10_0_1,32,-13.00614195,-7.161972439,-4.13962007,-2.087858205,-0.479336491,0.877771342
DS10DS10_0_1,36,-13.00614195,-7.04738088,-3.894394134,-1.720592259,-0.036205203,1.438124066
DS10DS10_0_1,40,-12.94884617,-6.875493542,-3.682399749,-1.401454767,0.430921558,1.987590591
DS10DS10_0_1,44,-12.89155039,-6.703606203,-3.395347894,-1.044502061,0.894960076,2.522733172
DS10DS10_0_1,48,-12.89155039,-6.531718864,-3.146111253,-0.689268228,1.347023776,3.068188993
DS10DS10_0_1,52,-12.83425461,-6.417127305,-2.884842498,-0.334836535,1.79564973,3.618801434
DS10DS10_0_1,56,-13.23532507,-6.187944187,-2.641908393,-0.000942516,2.234535401,4.148787395
DS10DS10_0_1,60,-12.49047993,-6.073352628,-2.419600769,0.32962262,2.68430727,4.681638144
DS10DS10_0_1,64,-12.43318415,-5.90146529,-2.181250326,0.680100903,3.125484772,5.232250585
DS10DS10_0_1,68,-12.43318415,-5.729577951,-1.936597348,1.028459242,3.570100021,5.786873731
DS10DS10_0_1,72,-12.37588837,-5.614413434,-1.641524083,1.34874265,4.006120904,6.302535746
DS10DS10_0_1,76,-12.3185926,-5.405856797,-1.406611387,1.681058171,4.448444321,6.818197762
DS10DS10_0_1,80,-11.68833902,-5.286108618,-1.18487672,2.033427215,4.880454499,7.333859778
DS10DS10_0_1,84,-12.66236727,-5.079270854,-0.935640079,2.342251466,5.307881014,7.849521793
DS10DS10_0_1,88,-11.91752214,-4.98415986,-0.711613582,2.693474595,5.729577951,8.365183809
DS10DS10_0_1,92,-11.91752214,-4.803678154,-0.417800824,3.415401417,6.187944187,8.880845825
DS10DS10_0_1,96,-11.86022636,-4.696535047,-0.196639115,3.34435465,6.589014644,9.39650784
DS10DS10_0_1,100,-11.80293058,-4.552149682,0.010954953,3.646303408,7.04738088,9.854874076
DS10DS10_0_1,104,-11.7456348,-4.360781779,0.285447574,3.959138364,7.448451337,10.37053609
DS10DS10_0_1,108,-11.00078967,-4.268535574,0.492399929,4.898216191,8.365183809,10.88619811
DS10DS10_0_1,112,-12.08940948,-4.057687105,0.707029919,4.612883209,8.880845825,12.08940948
DS10DS10_0_1,116,-11.40186012,-3.960857238,0.913867683,4.938896194,9.339212061,12.66236727
DS10DS10_0_1,120,-11.34456434,-3.791834688,1.187741509,5.90146529,9.797578297,13.06343773
DS10DS10_0_1,124,-11.34456434,-3.693858905,1.386557864,5.600662447,10.19864875,13.57909974
DS10DS10_0_1,128,-11.28726856,-3.539160301,1.575633937,5.90146529,10.59971921,13.9801702
DS10DS10_0_1,132,-11.22997278,-3.397066767,1.842059311,6.990085101,11.00078967,14.49583222
DS10DS10_0_1,136,-10.59971921,-3.246951825,2.039729751,6.531718864,11.57374746,15.01149423
DS10DS10_0_1,140,-11.57374746,-3.104285334,2.283809771,7.906817573,12.14670526,15.69904359
DS10DS10_0_1,144,-10.88619811,-2.95989997,2.487209789,7.161972439,12.49047993,16.5011845
DS10DS10_0_1,148,-10.82890233,-2.818379394,2.680296566,8.25059225,12.83425461,16.67307184
DS10DS10_0_1,152,-10.82890233,-2.690609806,2.922084755,7.734930234,13.29262085,17.07414229
DS10DS10_0_1,156,-10.71431077,-2.571434585,3.132933224,9.167324722,13.6936913,17.58980431
DS10DS10_0_1,160,-10.71431077,-2.452259363,3.303674647,9.281916281,14.03746598,18.04817055
DS10DS10_0_1,164,-10.08405719,-2.326208648,3.56780819,9.854874076,14.553128,18.449241
DS10DS10_0_1,168,-10.14135297,-2.177239621,3.759176094,9.797578297,14.72501533,19.0221988
DS10DS10_0_1,172,-10.37053609,-2.040875666,3.941949631,10.02676141,15.35526891,19.36597348
DS10DS10_0_1,176,-10.31324031,-1.892479597,4.200926554,10.14135297,15.75633937,19.93893127
DS10DS10_0_1,180,-10.31324031,-1.786482405,4.387137837,10.19864875,16.04281826,20.45459329
DS10DS10_0_1,184,-10.25594453,-1.63980521,4.607153631,10.54242343,16.5011845,20.85566374
DS10DS10_0_1,188,-10.19864875,-1.522348862,4.810553648,10.71431077,16.90225496,21.2567342
DS10DS10_0_1,192,-9.682986738,-1.3928604,5.03859085,10.82890233,17.24602963,21.60050888
DS10DS10_0_1,196,-9.682986738,-1.284571377,5.229385796,12.0321137,17.64710009,22.28805823
DS10DS10_0_1,200,-9.854874076,-1.147061506,5.448255674,12.0321137,18.10546633,22.86101603
DS10DS10_0_1,204,-9.854874076,-1.065128541,5.647644987,13.00614195,18.33464944,23.31938226
DS10DS10_0_1,208,-9.854874076,-0.917878388,5.84416951,13.52180397,18.90760724,23.72045272
DS10DS10_0_1,212,-9.740282517,-0.808443449,6.016056849,13.63639552,19.3086777,24.00693162
DS10DS10_0_1,216,-9.682986738,-0.646869351,6.245239967,13.75098708,19.65245237,24.57988941
DS10DS10_0_1,220,-9.625690958,-0.500994296,6.417127305,13.75098708,19.93893127,25.03825565
DS10DS10_0_1,224,-9.854874076,-0.398091076,6.646310424,14.03746598,20.28270595,25.49662188
DS10DS10_0_1,228,-9.854874076,-0.269633938,7.505747116,14.09476176,20.79836796,25.95498812
DS10DS10_0_1,232,-9.854874076,-0.120206545,7.04738088,14.38124066,21.08484686,26.2987628
DS10DS10_0_1,236,-9.854874076,0.002616125,7.849521793,14.61042378,21.42862154,26.69983325
DS10DS10_0_1,240,-9.854874076,0.162834605,7.448451337,15.46986047,21.88698777,27.21549527
DS10DS10_0_1,244,-9.281916281,0.262185487,7.620338675,15.69904359,22.23076245,27.6738615
DS10DS10_0_1,248,-9.224620502,0.399408879,8.365183809,16.04281826,22.51724135,28.18952352
DS10DS10_0_1,252,-9.224620502,0.509531367,8.021409132,16.15740982,22.97560758,28.59059398
DS10DS10_0_1,256,-9.224620502,0.642285688,8.25059225,16.44388872,23.2047907,28.93436865
DS10DS10_0_1,260,-9.39650784,0.788962884,9.110028943,16.7876634,23.66315694,29.27814333
DS10DS10_0_1,264,-9.39650784,0.89381416,9.110028943,17.18873385,24.0642274,29.73650957
DS10DS10_0_1,268,-9.339212061,1.042210229,9.339212061,17.58980431,24.40800207,30.25217158
DS10DS10_0_1,272,-8.880845825,1.141904886,9.740282517,17.76169165,24.69448097,30.65324204
DS10DS10_0_1,276,-8.823550045,1.278268841,10.02676141,18.27735366,25.15284721,30.99701672
DS10DS10_0_1,280,-8.823550045,1.358482932,10.19864875,18.56383256,25.55391766,31.51267873
DS10DS10_0_1,284,-8.938141604,2.025405806,10.48512765,18.90760724,25.725805,31.97104497
DS10DS10_0_1,288,-8.938141604,1.658139859,10.82890233,18.90760724,26.18417124,32.4294112
DS10DS10_0_1,292,-8.880845825,2.45054049,11.00078967,19.25138192,26.64253747,32.83048166
DS10DS10_0_1,296,-8.880845825,2.821817141,11.17267701,19.59515659,27.15819949,33.17425634
DS10DS10_0_1,300,-8.422479588,2.869372638,11.34456434,19.82433971,27.33008683,33.63262257
DS10DS10_0_1,304,-8.365183809,2.869372638,11.63104324,19.93893127,27.73115728,34.26287615
